title,type,year,duration,rating,genres,descriptors,tubi_url,torrent_found,seed_status,max_seeders,total_results
As Good as Dead,movie,2022,1h 30m,TV-MA,"Action, Crime",,https://tubitv.com/movies/100032629/as-good-as-dead,True,healthy,303,82
Damage,movie,2009,1h 47m,R,Action,,https://tubitv.com/movies/565416/damage,True,healthy,230,169
The Forbidden Kingdom,movie,2008,1h 45m,PG-13,"Action, Adventure, Fantasy",,https://tubitv.com/movies/461204/the-forbidden-kingdom,True,healthy,104,152
Lionheart,movie,1990,1h 46m,R,"Action, Crime, Sport",,https://tubitv.com/movies/472710/lionheart,True,healthy,173,156
Today You Die,movie,2005,1h 31m,R,"Action, Crime, Thriller",,https://tubitv.com/movies/100044772/today-you-die,True,healthy,149,33
The Last Dragon,movie,1985,1h 49m,PG-13,"Action, Comedy, Drama",,https://tubitv.com/movies/651100/the-last-dragon,True,healthy,221,129
3 Ninjas Kick Back,movie,1994,1h 34m,PG,"Kids & Family, Comedy, Action",,https://tubitv.com/movies/100005554/3-ninjas-kick-back,True,healthy,23,21
Bring It On: All or Nothing,movie,2006,1h 39m,PG-13,"Comedy, Sport",,https://tubitv.com/movies/616516/bring-it-on-all-or-nothing,True,healthy,73,51
Everybody Hates Chris,series,2009,,TV-PG,Comedy,,https://tubitv.com/series/300015509/everybody-hates-chris,True,healthy,80,150
The Count of Monte Cristo,movie,2002,2h 12m,PG-13,"Adventure, Drama",,https://tubitv.com/movies/100026714/the-count-of-monte-cristo,True,healthy,643,158
No One Would Tell,movie,1996,1h 29m,TV-14,Drama,,https://tubitv.com/movies/546112/no-one-would-tell,True,healthy,80,27
Precious,movie,2009,1h 50m,R,Drama,,https://tubitv.com/movies/100016659/precious,True,healthy,296,158
Degrassi: The Next Generation,series,2015,,TV-PG,Drama,,https://tubitv.com/series/4631/degrassi-the-next-generation,True,healthy,79,150
Miami Vice,series,1984,,TV-14,"Crime, Action, Drama, Mystery, Thriller",,https://tubitv.com/series/300010244/miami-vice,True,healthy,215,152
The I.T. Crowd,series,2013,,TV-14,Comedy,,https://tubitv.com/series/300015693/the-i-t-crowd,True,healthy,327,148
Goosebumps,series,1998,,TV-G,"Horror, Kids & Family, Fantasy",,https://tubitv.com/series/300013625/goosebumps,True,healthy,262,158
Lars and The Real Girl,movie,2007,1h 47m,PG-13,"Comedy, Drama, Independent",,https://tubitv.com/movies/306935/lars-and-the-real-girl,True,healthy,719,55
White Chicks,movie,2004,1h 49m,PG-13,"Comedy, Crime",,https://tubitv.com/movies/670475/white-chicks,True,healthy,143,152
Grown Ups,movie,2010,1h 43m,PG-13,Comedy,,https://tubitv.com/movies/100002158/grown-ups,True,healthy,139,201
Home,movie,2015,1h 34m,PG,"Kids & Family, Animation, Adventure, Sci-Fi, Comedy",,https://tubitv.com/movies/100054800/home,True,healthy,711,258
Zombieland: Double Tap,movie,2019,1h 40m,R,"Action, Comedy, Horror, Sci-Fi",,https://tubitv.com/movies/100053682/zombieland-double-tap,True,healthy,224,131
Scooby-Doo,movie,2002,1h 27m,PG,"Comedy, Mystery, Fantasy, Kids & Family",,https://tubitv.com/movies/515490/scooby-doo,True,healthy,172,255
Grown Ups 2,movie,2013,1h 42m,PG-13,Comedy,,https://tubitv.com/movies/100013977/grown-ups-2,True,healthy,139,152
Scooby-Doo Where Are You?,series,1976,,TV-G,"Kids & Family, Animation, Comedy, Mystery",,https://tubitv.com/series/300006854/scooby-doo-where-are-you,True,healthy,84,130
Tom and Jerry Theatricals,series,1964,,TV-PG,"Kids & Family, Adventure, Animation, Comedy",,https://tubitv.com/series/300000610/tom-and-jerry-theatricals,False,not_found,0,0
The Croods,movie,2013,1h 39m,PG,"Kids & Family, Adventure, Comedy, Animation, Fantasy",,https://tubitv.com/movies/100055111/the-croods,True,healthy,113,158
Looney Tunes,series,2003,,TV-PG,"Kids & Family, Animation, Comedy",,https://tubitv.com/series/300016553/looney-tunes,True,healthy,144,161
Identity Thief,movie,2013,1h 52m,R,"Comedy, Action, Crime",,https://tubitv.com/movies/724345/identity-thief,True,healthy,123,155
White Boy Rick,movie,2018,1h 52m,R,"Drama, Crime, Thriller",,https://tubitv.com/movies/646065/white-boy-rick,True,healthy,110,100
Ransom,movie,1996,2h 2m,R,"Action, Crime, Thriller",,https://tubitv.com/movies/100030210/ransom,True,healthy,201,175
Hustlers,movie,2019,1h 50m,R,"Comedy, Crime, Drama, Independent",,https://tubitv.com/movies/100049900/hustlers,True,healthy,230,171
Armor,movie,2024,1h 29m,R,"Action, Crime, Thriller",,https://tubitv.com/movies/100035706/armor,True,healthy,196,169
The Dirty D,series,2026,,TV-MA,"Crime, Drama",,https://tubitv.com/series/300002654/the-dirty-d,True,healthy,478,145
Can't Buy Loyalty,movie,2026,2h 3m,TV-MA,"Drama, Crime",,https://tubitv.com/movies/100051053/can-t-buy-loyalty,False,not_found,0,0
